zone_id,model_type,r2_score,mae,rmse,zone_category,training_samples,test_samples,best_params
zone_akurdi_01,GradientBoosting,0.9992615797880127,0.00026559251937652344,0.004009461805640712,transport_hub,1326,234,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_akurdi_railway_01,GradientBoosting,0.9970683809026197,0.0005299672684822826,0.008036349341607024,transport_hub,1326,233,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}"
zone_aundh_01,GradientBoosting,0.9999999999999876,1.1035181550614516e-08,1.1524330083729285e-08,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_aundh_02,GradientBoosting,0.9999999999999876,1.103598682192539e-08,1.1523728020682272e-08,mixed_suburban,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_aundh_it_01,GradientBoosting,0.9999999999999876,1.1033302819776471e-08,1.1523133785671465e-08,mixed_suburban,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_aundh_main_01,GradientBoosting,0.9999999999999876,1.1035181550614516e-08,1.1524330083729285e-08,mixed_suburban,1324,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 100}"
zone_balewadi_01,GradientBoosting,0.999999999999991,1.1003880688378578e-08,1.1492405433634894e-08,entertainment,1326,233,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_balewadi_high_01,GradientBoosting,0.999999999999991,1.1006557533384621e-08,1.1492998084237991e-08,entertainment,1326,234,"{'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 150}"
zone_baner-pashan_link_01,RandomForest,0.9923894071154493,0.012871225071225545,0.028286410061781134,it_corporate,1326,234,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_baner_01,RandomForest,0.9878515887977114,0.0166176144492136,0.03576826197469821,it_corporate,1325,233,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_baner_02,RandomForest,0.9923894071154493,0.01287122507122557,0.028286410061781158,it_corporate,1326,234,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_baner_03,RandomForest,0.9924675885291268,0.012716165951359569,0.028164698983592574,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_baner_04,RandomForest,0.9924675885291268,0.012716165951359572,0.028164698983592584,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
zone_baner_it_01,RandomForest,0.99396776392651,0.011965218168812847,0.02520445207561399,it_corporate,1325,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_baner_main_01,RandomForest,0.9878515887977114,0.016617614449213617,0.035768261974698214,it_corporate,1325,233,"{'max_depth': 30, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 200}"
zone_baner_pashan_link_01,RandomForest,0.9924675885291268,0.012716165951359592,0.028164698983592577,it_corporate,1326,233,"{'max_depth': 20, 'max_features': 0.8, 'min_samples_leaf': 2, 'n_estimators': 100}"
